Comunidad autónoma;Divisiones COICOP;Año;Total
Andalucía;01. Alimentos y bebidas no alcohólicas;2016;14.654.495
Andalucía;01. Alimentos y bebidas no alcohólicas;2017;14.880.229
Andalucía;01. Alimentos y bebidas no alcohólicas;2018;15.442.791
Andalucía;01. Alimentos y bebidas no alcohólicas;2019;15.817.158
Andalucía;01. Alimentos y bebidas no alcohólicas;2020;16.729.772
Andalucía;01. Alimentos y bebidas no alcohólicas;2021;16.747.038
Andalucía;01. Alimentos y bebidas no alcohólicas;2022 (P);17.878.571
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2016;4.788.570
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2017;4.838.796
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2018;4.846.247
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2019;4.895.969
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2020;5.145.987
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2021;5.261.532
Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);5.678.967
Andalucía;03. Artículos de vestir y calzado;2016;5.033.821
Andalucía;03. Artículos de vestir y calzado;2017;5.267.082
Andalucía;03. Artículos de vestir y calzado;2018;5.218.452
Andalucía;03. Artículos de vestir y calzado;2019;5.218.940
Andalucía;03. Artículos de vestir y calzado;2020;3.515.721
Andalucía;03. Artículos de vestir y calzado;2021;3.958.131
Andalucía;03. Artículos de vestir y calzado;2022 (P);4.463.515
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;23.705.528
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;24.309.358
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;25.031.866
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;25.487.714
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;24.905.587
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;26.245.114
Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);27.726.808
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;5.137.364
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;5.371.186
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;5.420.989
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;5.415.410
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;4.586.812
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;5.309.358
Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);5.647.266
Andalucía;06. Salud;2016;4.384.408
Andalucía;06. Salud;2017;4.741.943
Andalucía;06. Salud;2018;5.082.538
Andalucía;06. Salud;2019;5.232.289
Andalucía;06. Salud;2020;5.048.840
Andalucía;06. Salud;2021;5.091.318
Andalucía;06. Salud;2022 (P);5.370.866
Andalucía;07. Transporte;2016;13.676.150
Andalucía;07. Transporte;2017;15.357.706
Andalucía;07. Transporte;2018;16.111.850
Andalucía;07. Transporte;2019;16.106.507
Andalucía;07. Transporte;2020;11.365.756
Andalucía;07. Transporte;2021;13.818.932
Andalucía;07. Transporte;2022 (P);16.146.266
Andalucía;08. Información y comunicación;2016;3.434.828
Andalucía;08. Información y comunicación;2017;3.545.908
Andalucía;08. Información y comunicación;2018;3.659.302
Andalucía;08. Información y comunicación;2019;3.589.827
Andalucía;08. Información y comunicación;2020;3.517.870
Andalucía;08. Información y comunicación;2021;3.747.010
Andalucía;08. Información y comunicación;2022 (P);3.982.843
Andalucía;09. Ocio, deporte y cultura;2016;6.655.003
Andalucía;09. Ocio, deporte y cultura;2017;7.009.161
Andalucía;09. Ocio, deporte y cultura;2018;7.230.642
Andalucía;09. Ocio, deporte y cultura;2019;7.412.283
Andalucía;09. Ocio, deporte y cultura;2020;4.574.450
Andalucía;09. Ocio, deporte y cultura;2021;6.154.153
Andalucía;09. Ocio, deporte y cultura;2022 (P);8.656.489
Andalucía;10. Servicios para la educación;2016;1.639.180
Andalucía;10. Servicios para la educación;2017;1.662.310
Andalucía;10. Servicios para la educación;2018;1.677.457
Andalucía;10. Servicios para la educación;2019;1.692.772
Andalucía;10. Servicios para la educación;2020;1.625.795
Andalucía;10. Servicios para la educación;2021;1.451.074
