id,nombre,precio_unidad,precio_bulk,formato,categoria,seccion
4241.0,"Aceite de oliva 0,4º Hacendado",19.75,3.95,,Aceite de oliva,"Aceite, especias y salsas"
4240.0,"Aceite de oliva 0,4º Hacendado",4.1,4.1,,Aceite de oliva,"Aceite, especias y salsas"
4717.0,Aceite de oliva virgen extra Hacendado,14.55,4.85,,Aceite de oliva,"Aceite, especias y salsas"
4740.0,Aceite de oliva virgen extra Hacendado,4.95,4.95,,Aceite de oliva,"Aceite, especias y salsas"
4706.0,Aceite de oliva virgen extra Hacendado Gran Selección,5.95,7.93,,Aceite de oliva,"Aceite, especias y salsas"
4641.0,Aceite de oliva 1º Hacendado,20.85,4.17,,Aceite de oliva,"Aceite, especias y salsas"
4640.0,Aceite de oliva 1º Hacendado,4.35,4.35,,Aceite de oliva,"Aceite, especias y salsas"
4711.0,Aceite de oliva virgen Hacendado,12.85,4.28,,Aceite de oliva,"Aceite, especias y salsas"
4749.0,Aceite de oliva virgen Hacendado,4.45,4.45,,Aceite de oliva,"Aceite, especias y salsas"
4718.0,Aceite de oliva virgen extra Hacendado,2.7,13.5,,Aceite de oliva,"Aceite, especias y salsas"
4850.0,Aceite de oliva virgen extra Picual Casa Juncal,4.85,9.7,,Aceite de oliva,"Aceite, especias y salsas"
4940.0,Vinagre de vino blanco Hacendado,0.65,0.65,,Vinagre y otros aderezos,"Aceite, especias y salsas"
4957.0,Vinagre de manzana Hacendado,0.9,0.9,,Vinagre y otros aderezos,"Aceite, especias y salsas"
4903.0,Limón exprimido Hacendado,1.35,4.82,,Vinagre y otros aderezos,"Aceite, especias y salsas"
4908.0,Crema de vinagre balsámico de Módena Hacendado,1.8,7.2,,Vinagre y otros aderezos,"Aceite, especias y salsas"
13609.0,Vinagre de Jerez reserva Hacendado,2.1,8.4,,Vinagre y otros aderezos,"Aceite, especias y salsas"
4905.0,Reducción bálsamica de vinagre Pedro Ximénez Hacendado,2.25,7.5,,Vinagre y otros aderezos,"Aceite, especias y salsas"
26496.0,Vinagre balsámico de Módena Hacendado,2.25,4.5,,Vinagre y otros aderezos,"Aceite, especias y salsas"
4041.0,"Aceite de girasol refinado 0,2º Hacendado",8.45,1.69,,Otros aceites,"Aceite, especias y salsas"
4040.0,"Aceite de girasol refinado 0,2º Hacendado",1.75,1.75,,Otros aceites,"Aceite, especias y salsas"
4193.0,Aceite de coco virgen Hacendado,5.25,11.67,,Otros aceites,"Aceite, especias y salsas"
19731.0,Sal fina Hacendado,0.4,0.4,,Sal y bicarbonato,"Aceite, especias y salsas"
16864.0,Sal fina de mesa Hacendado,0.75,2.5,,Sal y bicarbonato,"Aceite, especias y salsas"
19732.0,Sal yodada fina Hacendado,0.45,0.45,,Sal y bicarbonato,"Aceite, especias y salsas"
19733.0,Sal gruesa Hacendado,0.4,0.4,,Sal y bicarbonato,"Aceite, especias y salsas"
29007.0,Bicarbonato de sódio Hacendado,1.45,1.45,,Sal y bicarbonato,"Aceite, especias y salsas"
29006.0,Bicarbonato de sódio Hacendado,1.1,3.67,,Sal y bicarbonato,"Aceite, especias y salsas"
19740.0,Escamas de sal marina natural Polasal,2.0,16.0,,Sal y bicarbonato,"Aceite, especias y salsas"
19734.0,Sal gruesa para hornear Hacendado,1.4,0.7,,Sal y bicarbonato,"Aceite, especias y salsas"
34130.0,Sal de ajo Hacendado,1.8,13.85,,Sal y bicarbonato,"Aceite, especias y salsas"
29016.0,Sal de frutas sabor limón Hacendado,2.1,8.4,,Sal y bicarbonato,"Aceite, especias y salsas"
19713.0,Sal 60% menos de sodio Hacendado,2.3,9.2,,Sal y bicarbonato,"Aceite, especias y salsas"
19726.0,Preparado para ahumar Hacendado,3.3,4.4,,Sal y bicarbonato,"Aceite, especias y salsas"
8930.0,Sal rosa del Himalaya Hacendado,2.65,2.65,,Sal y bicarbonato,"Aceite, especias y salsas"
5598.0,Orégano Hacendado,1.0,40.0,,Hierbas,"Aceite, especias y salsas"
5599.0,Perejil Hacendado,0.95,52.78,,Hierbas,"Aceite, especias y salsas"
47994.0,Hoja de laurel Hacendado,0.85,70.83,,Hierbas,"Aceite, especias y salsas"
34131.0,Hierbas provenzales Hacendado,1.2,48.0,,Hierbas,"Aceite, especias y salsas"
34128.0,Albahaca Hacendado,1.25,62.5,,Hierbas,"Aceite, especias y salsas"
5547.0,Tomillo Hacendado,1.05,43.75,,Hierbas,"Aceite, especias y salsas"
52739.0,Eneldo Hacendado,1.85,102.78,,Hierbas,"Aceite, especias y salsas"
34721.0,Cilantro Hacendado,1.85,154.17,,Hierbas,"Aceite, especias y salsas"
60873.0,Ajo y Perejil Hacendado,1.35,18.24,,Hierbas,"Aceite, especias y salsas"
14981.0,Romero Hacendado,1.35,38.57,,Hierbas,"Aceite, especias y salsas"
34182.0,Colorante alimentario Hacendado,0.95,11.18,,Colorante y pimentón,"Aceite, especias y salsas"
34102.0,Pimentón dulce de la Vera Hacendado,1.85,24.67,,Colorante y pimentón,"Aceite, especias y salsas"
34116.0,Azafrán molido Hacendado,1.9,4750.0,,Colorante y pimentón,"Aceite, especias y salsas"
8370.0,Azafrán hebra Hacendado,1.95,4875.0,,Colorante y pimentón,"Aceite, especias y salsas"
34183.0,Pimentón picante Hacendado,1.35,22.5,,Colorante y pimentón,"Aceite, especias y salsas"
60573.0,Pimentón dulce Hacendado,1.3,17.33,,Colorante y pimentón,"Aceite, especias y salsas"
34171.0,Pimienta negra molida Hacendado,1.3,18.57,,Pimienta,"Aceite, especias y salsas"
67693.0,Molinillo pimienta negra Hacendado,1.85,28.46,,Pimienta,"Aceite, especias y salsas"
34172.0,Pimienta negra en grano Hacendado,1.7,24.29,,Pimienta,"Aceite, especias y salsas"
67694.0,Molinillo mix pimientas Hacendado,1.95,39.0,,Pimienta,"Aceite, especias y salsas"
34170.0,Pimienta blanca molida Hacendado,2.3,32.86,,Pimienta,"Aceite, especias y salsas"
86656.0,Ajo granulado Hacendado,1.2,10.43,,Otras especias,"Aceite, especias y salsas"
34208.0,Cebolla frita crujiente Hacendado,1.15,7.67,,Otras especias,"Aceite, especias y salsas"
34177.0,Canela molida Hacendado,1.0,19.23,,Otras especias,"Aceite, especias y salsas"
52880.0,Canela en rama Hacendado,1.5,78.95,,Otras especias,"Aceite, especias y salsas"
34120.0,Comino molido Hacendado,1.2,20.69,,Otras especias,"Aceite, especias y salsas"
34121.0,Comino en grano Hacendado,1.95,34.82,,Otras especias,"Aceite, especias y salsas"
34125.0,Curry Hacendado,1.1,19.3,,Otras especias,"Aceite, especias y salsas"
34173.0,Nuez moscada molida Hacendado,1.65,28.45,,Otras especias,"Aceite, especias y salsas"
34138.0,Cebolla en polvo Hacendado,0.94,15.67,,Otras especias,"Aceite, especias y salsas"
34178.0,Cayena guindillas Hacendado,1.36,50.37,,Otras especias,"Aceite, especias y salsas"
37417.0,Cayena molida Hacendado,1.65,30.0,,Otras especias,"Aceite, especias y salsas"
34163.0,Cúrcuma Hacendado,1.3,21.67,,Otras especias,"Aceite, especias y salsas"
34149.0,Jengibre molido Hacendado,1.65,33.67,,Otras especias,"Aceite, especias y salsas"
34130.0,Sal de ajo Hacendado,1.8,13.85,,Otras especias,"Aceite, especias y salsas"
34113.0,Ñoras Hacendado,1.56,62.4,,Otras especias,"Aceite, especias y salsas"
34122.0,Clavo en grano Hacendado,1.75,41.67,,Otras especias,"Aceite, especias y salsas"
60869.0,Piñones Hacendado,3.25,46.43,,Otras especias,"Aceite, especias y salsas"
23353.0,Sazonador para fajitas Hacendado sabor tex-mex,0.85,50.0,,Sazonadores,"Aceite, especias y salsas"
11971.0,Sazonador ajo y limón Hacendado para carne y pescado,1.05,35.0,,Sazonadores,"Aceite, especias y salsas"
11972.0,Sazonador hierbas provenzales Hacendado para pollo y costillas,1.0,41.67,,Sazonadores,"Aceite, especias y salsas"
86659.0,Sazonador barbacoa Hacendado para pollo y costillas,1.3,22.81,,Sazonadores,"Aceite, especias y salsas"
34702.0,Sazonador para paella con azafrán Hacendado,1.55,77.5,,Sazonadores,"Aceite, especias y salsas"
17147.0,Sazonador para burritos Hacendado,1.3,32.5,,Sazonadores,"Aceite, especias y salsas"
86808.0,Sazonador pollo y carne Hacendado,1.4,18.42,,Sazonadores,"Aceite, especias y salsas"
60640.0,Sazonador pasta Hacendado,1.6,35.56,,Sazonadores,"Aceite, especias y salsas"
13936.0,Sazonador Topping Hacendado,1.85,41.11,,Sazonadores,"Aceite, especias y salsas"
34114.0,Mezcla de especias para gazpacho manchego Hacendado,2.5,250.0,,Sazonadores,"Aceite, especias y salsas"
13406.0,Mayonesa Hacendado,1.3,2.6,,Mayonesa,"Aceite, especias y salsas"
52728.0,Mayonesa Hacendado,1.0,4.17,,Mayonesa,"Aceite, especias y salsas"
11550.0,Mayonesa Hacendado,1.5,3.06,,Mayonesa,"Aceite, especias y salsas"
23816.0,Mayonesa en sobres individuales Hacendado,1.4,5.83,,Mayonesa,"Aceite, especias y salsas"
35840.0,Mayonesa Hellmann's,2.95,6.56,,Mayonesa,"Aceite, especias y salsas"
35839.0,Salsa Original Ligeresa,2.35,5.53,,Mayonesa,"Aceite, especias y salsas"
15793.0,Salsa Light Hacendado,1.3,2.6,,Mayonesa,"Aceite, especias y salsas"
11551.0,Salsa Light Hacendado,1.5,3.06,,Mayonesa,"Aceite, especias y salsas"
23579.0,Ketchup Hacendado,1.15,1.92,,Ketchup,"Aceite, especias y salsas"
67586.0,Ketchup en sobres individuales Hacendado,1.4,5.83,,Ketchup,"Aceite, especias y salsas"
35343.0,Salsa de tomate Zero sin azúcares añadidos Hacendado,1.6,2.67,,Ketchup,"Aceite, especias y salsas"
17228.0,Mostaza de Dijon Hacendado,1.25,6.25,,Mostaza,"Aceite, especias y salsas"
23410.0,Mostaza clásica Hacendado,1.35,3.48,,Mostaza,"Aceite, especias y salsas"
17150.0,Allioli Chovi,1.55,8.61,,Allioli,"Aceite, especias y salsas"
17172.0,Allioli Hacendado,1.1,5.5,,Allioli,"Aceite, especias y salsas"
17173.0,Allioli en sobres individuales Hacendado,1.6,10.0,,Allioli,"Aceite, especias y salsas"
17132.0,Tomate frito Hacendado,1.35,1.13,,Tomate frito,"Aceite, especias y salsas"
17151.0,Tomate frito Hacendado,0.95,1.51,,Tomate frito,"Aceite, especias y salsas"
17108.0,Tomate frito Hacendado,0.9,1.61,,Tomate frito,"Aceite, especias y salsas"
17163.0,Tomate frito receta artesana Hacendado,2.0,3.57,,Tomate frito,"Aceite, especias y salsas"
17131.0,Tomate frito receta artesana Hacendado,1.5,5.0,,Tomate frito,"Aceite, especias y salsas"
17110.0,Tomate frito Hida,1.55,3.88,,Tomate frito,"Aceite, especias y salsas"
17153.0,Tomate frito estilo casero Hacendado,1.2,3.16,,Tomate frito,"Aceite, especias y salsas"
17128.0,Tomate frito Hacendado con aceite de oliva,1.4,2.22,,Tomate frito,"Aceite, especias y salsas"
17330.0,Tomate frito sin azúcares añadidos Hacendado,1.1,1.96,,Tomate frito,"Aceite, especias y salsas"
17346.0,Salsa Barbacoa Hacendado,1.15,3.29,,Salsas para carnes,"Aceite, especias y salsas"
17502.0,Salsa pimienta verde Hacendado,1.25,25.0,,Salsas para carnes,"Aceite, especias y salsas"
17347.0,Salsa Burger Hacendado,1.4,5.6,,Salsas para carnes,"Aceite, especias y salsas"
17396.0,Salsa Piri Piri Hacendado,1.0,5.13,,Salsas para carnes,"Aceite, especias y salsas"
35412.0,Salsa curry Tikka Masala Hacendado picante,2.0,11.11,,Salsas para carnes,"Aceite, especias y salsas"
12847.0,Salsa Brasa & Sabor Hacendado,1.6,5.16,,Salsas para carnes,"Aceite, especias y salsas"
35438.0,Salsa Pesto con albahaca Hacendado,1.95,10.26,,Salsas para pasta,"Aceite, especias y salsas"
52858.0,Salsa de tomate Boloñesa Hacendado,1.9,4.75,,Salsas para pasta,"Aceite, especias y salsas"
52859.0,Salsa de tomate con Albahaca Hacendado,1.65,4.13,,Salsas para pasta,"Aceite, especias y salsas"
17410.0,Salsa fresca Trufa Hacendado,1.55,11.07,,Salsas para pasta,"Aceite, especias y salsas"
17409.0,Salsa fresca Queso Hacendado,1.55,8.61,,Salsas para pasta,"Aceite, especias y salsas"
35186.0,Salsa fresca Pesto con albahaca Hacendado,2.0,13.33,,Salsas para pasta,"Aceite, especias y salsas"
7972.0,Salsa fresca Setas Hacendado,1.55,7.75,,Salsas para pasta,"Aceite, especias y salsas"
35183.0,Salsa fresca Carbonara Hacendado,1.55,7.75,,Salsas para pasta,"Aceite, especias y salsas"
17360.0,Salsa de Soja Hacendado,1.3,5.2,,Salsas orientales,"Aceite, especias y salsas"
17362.0,Salsa Teriyaki Hacendado,1.7,6.8,,Salsas orientales,"Aceite, especias y salsas"
22613.0,Salsa Thai Chili dulce J-Lek,1.55,6.2,,Salsas orientales,"Aceite, especias y salsas"
17382.0,Salsa de Soja sin gluten Hacendado,2.5,10.0,,Salsas orientales,"Aceite, especias y salsas"
3840.0,Guacamole Hacendado,3.95,7.9,,Otras salsas,"Aceite, especias y salsas"
3852.0,Guacamole Hacendado,1.8,9.0,,Otras salsas,"Aceite, especias y salsas"
